Data scraped on 02-Mar-2022 17:13:06

id|category|title|director|actors|rating|users_rated|year|url
0111161|Movie|Τελευταία έξοδος: Ρίτα Χέιγουορθ|Frank Darabont |Tim Robbins, Morgan Freeman|9.2|2,551,917|1994|https://www.imdb.com/title/tt0111161/
0068646|Movie|Ο νονός|Francis Ford Coppola |Marlon Brando, Al Pacino|9.2|1,756,119|1972|https://www.imdb.com/title/tt0068646/
0468569|Movie|Ο σκοτεινός ιππότης|Christopher Nolan |Christian Bale, Heath Ledger|9.0|2,503,112|2008|https://www.imdb.com/title/tt0468569/
0071562|Movie|Ο νονός, μέρος 2ο|Francis Ford Coppola |Al Pacino, Robert De Niro|9.0|1,217,074|1974|https://www.imdb.com/title/tt0071562/
0050083|Movie|Οι 12 ένορκοι|Sidney Lumet |Henry Fonda, Lee J. Cobb|9.0|754,211|1957|https://www.imdb.com/title/tt0050083/
0108052|Movie|Η λίστα του Σίντλερ|Steven Spielberg |Liam Neeson, Ralph Fiennes|8.9|1,302,245|1993|https://www.imdb.com/title/tt0108052/
0167260|Movie|Ο άρχοντας των δαχτυλιδιών: Η επιστροφή του βασιλιά|Peter Jackson |Elijah Wood, Viggo Mortensen|8.9|1,758,655|2003|https://www.imdb.com/title/tt0167260/
0110912|Movie|Pulp Fiction|Quentin Tarantino |John Travolta, Uma Thurman|8.9|1,962,084|1994|https://www.imdb.com/title/tt0110912/
0120737|Movie|Ο άρχοντας των δαχτυλιδιών: Η συντροφιά του δαχτυλιδιού|Peter Jackson |Elijah Wood, Ian McKellen|8.8|1,780,587|2001|https://www.imdb.com/title/tt0120737/
0060196|Movie|Ο καλός, ο κακός και ο άσχημος|Sergio Leone |Clint Eastwood, Eli Wallach|8.8|735,795|1966|https://www.imdb.com/title/tt0060196/
0109830|Movie|Φόρεστ Γκαμπ|Robert Zemeckis |Tom Hanks, Robin Wright|8.8|1,969,447|1994|https://www.imdb.com/title/tt0109830/
0137523|Movie|Fight Club|David Fincher |Brad Pitt, Edward Norton|8.8|2,009,114|1999|https://www.imdb.com/title/tt0137523/
1375666|Movie|Inception|Christopher Nolan |Leonardo DiCaprio, Joseph Gordon-Levitt|8.7|2,241,008|2010|https://www.imdb.com/title/tt1375666/
0167261|Movie|Ο άρχοντας των δαχτυλιδιών: Οι δύο πύργοι|Peter Jackson |Elijah Wood, Ian McKellen|8.7|1,588,934|2002|https://www.imdb.com/title/tt0167261/
